"","SchoolYear","NCESDistrictID","StudentID","AdministrationDate","TermAssessmentSubject","ScaleScore","PercentileRank","GradeEquivalent","StudentGrowthPercentile","BenchmarkLevel","WindowName"
"1176","2023-2024","108807009","108160954","2024-05-02 19:23:38.626","Reading","1127","58","9.9","71","1","EOY"
"1177","2023-2024","108807015","108064868","2024-04-30 20:13:37.050","Reading","477","11","4.2","12","3","EOY"
"1178","2023-2024","108807015","108056113","2024-05-07 14:12:24.545","Reading","828","53","7.2","4","1","EOY"
"1179","2023-2024","108807009","108052263","2024-05-03 14:05:50.682","Reading","444","4","3.9","16","4","EOY"
"1180","2023-2024","108807017","108064972","2024-05-15 13:55:58.306","Reading","1063","65","9.3","97","1","EOY"
"1181","2023-2024","108807014","108070210","2024-05-07 13:23:45.037","Reading","988","49","8.9","70","1","EOY"
"1182","2023-2024","108807087","108090140","2024-05-10 15:39:46.231","Reading","527","16","4.6","19","3","EOY"
"1183","2023-2024","108807014","108039456","2024-05-07 19:57:37.671","Reading","510","6","4.5","66","4","EOY"
"1184","2023-2024","108807015","108234160","2024-05-07 15:44:04.317","Reading","619","28","5.5","98","2","EOY"
"1185","2023-2024","108807015","108234160","2024-04-29 15:47:38.302","Reading","373","4","3.4","","4","EOY"
"1186","2023-2024","108807009","108158493","2024-05-02 17:53:34.479","Reading","271","1","2.6","3","4","EOY"
"1187","2023-2024","108807014","108085929","2024-05-08 18:35:25.864","Reading","1109","56","9.8","","1","EOY"
"1188","2023-2024","108807017","108052201","2024-05-01 14:02:58.228","Reading","619","21","5.5","97","3","EOY"
"1189","2023-2024","108807108","108093416","2024-05-02 16:52:57.581","Reading","247","4","2.4","19","4","EOY"
"1190","2023-2024","108807017","108085679","2024-05-15 18:37:47.812","Reading","841","42","7.2","16","1","EOY"
"1191","2023-2024","108807014","108040613","2024-05-07 20:03:53.148","Reading","643","15","5.7","69","3","EOY"
"1192","2023-2024","108807009","108194735","2024-05-02 20:16:55.106","Reading","191","1","2.1","2","4","EOY"
"1193","2023-2024","108807108","108075524","2024-05-02 17:22:25.790","Reading","622","68","5.5","23","1","EOY"
"1194","2023-2024","108807017","108071400","2024-05-15 18:14:44.640","Reading","1347","99","> 12.9","91","1","EOY"
"1195","2023-2024","108807009","108053514","2024-05-02 17:45:16.737","Reading","749","24","6.6","7","3","EOY"
"1196","2023-2024","108807015","108056902","2024-05-07 14:03:27.283","Reading","598","25","5.3","14","2","EOY"
"1197","2023-2024","108807017","108059742","2024-05-15 18:30:28.426","Reading","1295","85","> 12.9","68","1","EOY"
"1198","2023-2024","108807087","108135565","2024-05-10 15:49:33.752","Reading","640","31","5.7","50","2","EOY"
"1199","2023-2024","108807014","108244798","2024-05-07 20:16:31.140","Reading","8","1","0.0","","4","EOY"
"1200","2023-2024","108807017","108064941","2024-05-15 17:25:56.818","Reading","661","24","5.9","19","3","EOY"
"1201","2023-2024","108807015","108203047","2024-04-30 18:37:34.896","Reading","574","22","5.1","36","3","EOY"
"1202","2023-2024","108807108","108075556","2024-05-08 17:52:36.959","Reading","436","29","3.8","54","2","EOY"
"1203","2023-2024","108807015","108234156","2024-04-30 15:22:22.220","Reading","368","4","3.3","3","4","EOY"
"1204","2023-2024","108807015","108056895","2024-04-30 18:52:37.432","Reading","842","54","7.3","78","1","EOY"
"1205","2023-2024","108807009","108048377","2024-05-03 20:08:24.732","Reading","510","6","4.5","28","4","EOY"
"1206","2023-2024","108807108","108075528","2024-05-02 16:51:33.341","Reading","250","4","2.5","47","4","EOY"
"1207","2023-2024","108807009","108089748","2024-05-02 13:50:41.996","Reading","1326","83","> 12.9","97","1","EOY"
"1208","2023-2024","108807017","108230054","2024-05-15 18:46:18.441","Reading","590","16","5.2","54","3","EOY"
"1209","2023-2024","108807009","108149174","2024-05-02 20:23:35.440","Reading","448","4","3.9","40","4","EOY"
"1210","2023-2024","108807015","108056938","2024-04-30 15:23:59.444","Reading","561","20","4.9","81","3","EOY"
"1211","2023-2024","108807108","108075531","2024-05-02 17:07:53.208","Reading","769","84","6.7","80","1","EOY"
"1212","2023-2024","108807015","108261657","2024-04-30 15:14:28.358","Reading","457","8","4.0","","4","EOY"
"1213","2023-2024","108807108","108075502","2024-05-02 16:46:16.995","Reading","617","67","5.5","54","1","EOY"
"1214","2023-2024","108807009","108137075","2024-05-03 18:01:37.243","Reading","534","7","4.7","43","4","EOY"
"1215","2023-2024","108807017","108064983","2024-05-07 14:45:03.756","Reading","583","16","5.2","95","3","EOY"
"1216","2023-2024","108807009","108048513","2024-05-02 13:39:15.839","Reading","572","9","5.1","29","4","EOY"
"1217","2023-2024","108807015","108060062","2024-05-02 18:32:22.954","Reading","391","5","3.5","54","4","EOY"
"1218","2023-2024","108807087","108135601","2024-05-10 13:23:58.056","Reading","721","42","6.4","78","1","EOY"
"1219","2023-2024","108807009","108061458","2024-05-02 19:25:50.481","Reading","740","23","6.6","53","3","EOY"
"1220","2023-2024","108807014","108126448","2024-04-29 13:33:16.874","Reading","554","8","4.9","87","4","EOY"
"1221","2023-2024","108807017","108055172","2024-05-15 17:05:57.834","Reading","951","56","8.4","92","1","EOY"
"1222","2023-2024","108807087","108100127","2024-05-10 13:09:49.429","Reading","78","1","1.0","6","4","EOY"
"1223","2023-2024","108807015","108156985","2024-04-29 18:36:06.724","Reading","549","18","4.8","65","3","EOY"
"1224","2023-2024","108807014","108053461","2024-05-07 15:32:53.046","Reading","770","25","6.7","69","2","EOY"
"1225","2023-2024","108807017","108113930","2024-05-15 18:20:13.050","Reading","904","50","7.9","72","1","EOY"
"1226","2023-2024","108807017","108123185","2024-05-15 13:38:34.291","Reading","113","1","1.6","35","4","EOY"
"1227","2023-2024","108807014","108039476","2024-05-07 15:44:35.210","Reading","1038","52","9.1","39","1","EOY"
"1228","2023-2024","108807014","108050039","2024-05-08 18:54:55.753","Reading","923","42","8.2","16","1","EOY"
"1229","2023-2024","108807087","108091531","2024-05-13 13:44:39.461","Reading","367","4","3.3","9","4","EOY"
"1230","2023-2024","108807014","108053020","2024-05-08 18:41:33.883","Reading","1327","84","> 12.9","99","1","EOY"
"1231","2023-2024","108807087","108104658","2024-05-10 13:19:53.312","Reading","459","9","4.0","43","4","EOY"
"1232","2023-2024","108807108","108075533","2024-05-02 17:09:40.025","Reading","614","67","5.4","83","1","EOY"
"1233","2023-2024","108807087","108090158","2024-05-15 00:03:36.488","Reading","226","1","2.3","","4","EOY"
"1234","2023-2024","108807015","108064886","2024-04-30 16:45:43.275","Reading","892","60","7.7","8","1","EOY"
"1235","2023-2024","108807015","108056898","2024-04-30 20:06:53.377","Reading","449","8","3.9","8","4","EOY"
"1236","2023-2024","108807015","108056913","2024-04-30 17:00:24.054","Reading","907","63","7.9","64","1","EOY"
"1237","2023-2024","108807108","108075545","2024-05-07 17:16:33.889","Reading","75","1","0.9","","4","EOY"
"1238","2023-2024","108807108","108075545","2024-05-02 16:51:53.418","Reading","8","1","0.0","","4","EOY"
"1239","2023-2024","108807015","108164020","2024-04-30 15:12:23.661","Reading","914","64","8.1","2","1","EOY"
"1240","2023-2024","108807014","108052090","2024-05-07 19:01:26.962","Reading","989","49","8.9","10","1","EOY"
"1241","2023-2024","108807017","108100707","2024-05-15 18:43:22.546","Reading","638","22","5.7","48","3","EOY"
"1242","2023-2024","108807017","108048867","2024-05-15 19:56:25.887","Reading","898","49","7.8","87","1","EOY"
"1243","2023-2024","108807009","108053021","2024-05-03 13:49:31.539","Reading","601","11","5.3","48","3","EOY"
"1244","2023-2024","108807015","108234158","2024-04-30 15:11:05.828","Reading","589","24","5.2","63","3","EOY"
"1245","2023-2024","108807017","108104052","2024-05-15 18:42:40.529","Reading","968","58","8.6","80","1","EOY"
"1246","2023-2024","108807009","108110521","2024-05-02 19:21:42.124","Reading","683","18","6.1","78","3","EOY"
"1247","2023-2024","108807014","108146603","2024-05-10 13:44:43.743","Reading","635","14","5.7","95","3","EOY"
"1248","2023-2024","108807108","108075526","2024-05-02 17:05:41.816","Reading","676","76","6.0","88","1","EOY"
"1249","2023-2024","108807108","108075557","2024-05-08 15:40:55.952","Reading","462","34","4.1","41","2","EOY"
"1250","2023-2024","108807015","108086268","2024-04-30 18:25:40.382","Reading","467","9","4.1","18","4","EOY"
"1251","2023-2024","108807014","108246236","2024-05-10 19:46:31.579","Reading","709","21","6.3","90","3","EOY"
"1252","2023-2024","108807017","108055100","2024-05-15 17:36:42.278","Reading","650","23","5.8","88","3","EOY"
"1253","2023-2024","108807014","108051990","2024-05-07 13:11:34.670","Reading","881","35","7.6","79","2","EOY"
"1254","2023-2024","108807108","108076939","2024-05-02 17:01:12.946","Reading","339","12","3.1","62","3","EOY"
"1255","2023-2024","108807108","108075495","2024-05-02 16:51:41.275","Reading","208","3","2.2","56","4","EOY"
"1256","2023-2024","108807015","108076620","2024-05-02 16:09:27.436","Reading","921","66","8.2","96","1","EOY"
"1257","2023-2024","108807015","108056960","2024-04-30 18:53:34.860","Reading","584","23","5.2","74","3","EOY"
"1258","2023-2024","108807015","108244797","2024-04-29 14:02:11.780","Reading","519","15","4.6","96","3","EOY"
"1259","2023-2024","108807009","108053330","2024-05-02 19:11:00.718","Reading","562","9","5.0","21","4","EOY"
"1260","2023-2024","108807014","108052152","2024-05-08 18:41:35.453","Reading","795","28","6.9","8","2","EOY"
"1261","2023-2024","108807087","108090135","2024-05-10 18:21:38.503","Reading","379","4","3.4","7","4","EOY"
"1262","2023-2024","108807087","108178343","2024-05-10 18:36:39.728","Reading","164","1","1.9","10","4","EOY"
"1263","2023-2024","108807014","108062896","2024-05-07 13:12:38.001","Reading","399","2","3.6","24","4","EOY"
"1264","2023-2024","108807009","108048527","2024-05-02 13:51:08.571","Reading","1246","70","12.1","72","1","EOY"
"1265","2023-2024","108807017","108064986","2024-05-15 18:20:19.254","Reading","896","49","7.8","17","1","EOY"
"1266","2023-2024","108807009","108136964","2024-05-02 20:18:23.941","Reading","838","31","7.2","7","2","EOY"
"1267","2023-2024","108807009","108049868","2024-05-02 13:46:39.911","Reading","1017","51","9.0","85","1","EOY"
"1268","2023-2024","108807009","108050566","2024-05-03 13:50:17.830","Reading","576","10","5.1","13","3","EOY"
"1269","2023-2024","108807087","108229899","2024-05-13 13:22:53.091","Reading","295","2","2.8","2","4","EOY"
"1270","2023-2024","108807108","108150385","2024-05-03 13:50:11.429","Reading","349","13","3.2","80","3","EOY"
"1271","2023-2024","108807087","108102761","2024-05-10 16:43:01.237","Reading","529","16","4.7","4","3","EOY"
"1272","2023-2024","108807009","108232204","2024-05-02 17:50:01.441","Reading","521","7","4.6","41","4","EOY"
"1273","2023-2024","108807014","108052555","2024-05-07 13:24:11.876","Reading","788","27","6.9","4","2","EOY"
"1274","2023-2024","108807009","108137083","2024-05-02 13:31:40.557","Reading","539","8","4.8","47","4","EOY"
"1275","2023-2024","108807009","108106222","2024-05-02 13:40:22.330","Reading","882","35","7.6","65","2","EOY"
"1276","2023-2024","108807017","108076662","2024-05-15 18:40:17.123","Reading","1302","86","> 12.9","33","1","EOY"
"1277","2023-2024","108807017","108073802","2024-05-15 13:31:53.542","Reading","681","27","6.1","2","2","EOY"
"1278","2023-2024","108807015","108056951","2024-04-30 16:56:52.574","Reading","878","58","7.6","8","1","EOY"
"1279","2023-2024","108807096","108057968","2024-05-10 16:01:22.784","Reading","431","3","3.8","53","4","EOY"
"1280","2023-2024","108807014","108063145","2024-05-07 15:29:47.347","Reading","497","6","4.4","8","4","EOY"
"1281","2023-2024","108807014","108052203","2024-05-07 14:27:37.316","Reading","777","26","6.8","24","2","EOY"
"1282","2023-2024","108807087","108178323","2024-05-07 18:04:30.487","Reading","382","4","3.4","79","4","EOY"
"1283","2023-2024","108807015","108056984","2024-04-30 20:03:09.579","Reading","375","4","3.4","14","4","EOY"
"1284","2023-2024","108807015","108056931","2024-04-30 17:13:54.768","Reading","564","20","5.0","83","3","EOY"
"1285","2023-2024","108807014","108039449","2024-05-07 14:33:24.048","Reading","1189","63","10.9","24","1","EOY"
"1286","2023-2024","108807015","108056912","2024-05-08 16:38:42.589","Reading","523","16","4.6","66","3","EOY"
"1287","2023-2024","108807009","108179398","2024-05-02 13:42:48.667","Reading","586","10","5.2","2","3","EOY"
"1288","2023-2024","108807017","108056270","2024-05-15 13:27:57.630","Reading","720","31","6.4","4","2","EOY"
"1289","2023-2024","108807014","108049032","2024-05-07 15:28:41.231","Reading","534","7","4.7","9","4","EOY"
"1290","2023-2024","108807017","108185104","2024-05-15 13:29:40.528","Reading","505","9","4.5","20","4","EOY"
"1291","2023-2024","108807014","108053142","2024-05-07 13:19:51.817","Reading","1066","53","9.3","54","1","EOY"
"1292","2023-2024","108807014","108244722","2024-05-07 14:21:23.708","Reading","268","1","2.6","","4","EOY"
"1293","2023-2024","108807009","108048655","2024-05-02 17:58:23.349","Reading","1100","56","9.6","63","1","EOY"
"1294","2023-2024","108807015","108061876","2024-04-30 15:25:03.883","Reading","395","5","3.5","4","4","EOY"
"1295","2023-2024","108807014","108039548","2024-05-07 14:39:53.500","Reading","528","7","4.7","4","4","EOY"
"1296","2023-2024","108807015","108056947","2024-04-30 20:10:02.560","Reading","541","18","4.8","10","3","EOY"
"1297","2023-2024","108807017","108111861","2024-05-15 20:01:48.132","Reading","562","14","5.0","97","3","EOY"
"1298","2023-2024","108807108","108060558","2024-05-08 15:40:59.122","Reading","655","73","5.8","10","1","EOY"
"1299","2023-2024","108807015","108199002","2024-04-30 16:14:53.683","Reading","867","57","7.5","99","1","EOY"
"1300","2023-2024","108807009","108160800","2024-05-02 17:51:31.845","Reading","966","46","8.6","85","1","EOY"
"1301","2023-2024","108807009","108200611","2024-05-02 13:37:50.589","Reading","494","5","4.3","4","4","EOY"
"1302","2023-2024","108807087","108186708","2024-05-13 13:34:18.611","Reading","1323","96","> 12.9","99","1","EOY"
"1303","2023-2024","108807009","108232219","2024-05-02 15:18:46.308","Reading","560","9","4.9","12","4","EOY"
"1304","2023-2024","108807017","108064932","2024-05-15 19:53:22.241","Reading","475","7","4.2","16","4","EOY"
"1305","2023-2024","108807014","108185734","2024-05-10 13:17:48.308","Reading","229","1","2.3","19","4","EOY"
"1306","2023-2024","108807108","108240354","2024-05-09 15:29:40.931","Reading","307","8","2.9","90","4","EOY"
"1307","2023-2024","108807015","108056990","2024-04-30 15:33:22.705","Reading","560","20","4.9","37","3","EOY"
"1308","2023-2024","108807108","108230785","2024-05-07 16:47:56.204","Reading","179","2","2.0","68","4","EOY"
"1309","2023-2024","108807009","108048696","2024-05-02 19:15:34.937","Reading","1319","81","> 12.9","96","1","EOY"
"1310","2023-2024","108807017","108230072","2024-05-15 13:43:55.677","Reading","719","31","6.4","80","2","EOY"
"1311","2023-2024","108807014","108142759","2024-05-07 15:41:29.732","Reading","836","31","7.2","46","2","EOY"
"1312","2023-2024","108807015","108075078","2024-05-07 14:24:08.524","Reading","620","28","5.5","9","2","EOY"
"1313","2023-2024","108807014","108037372","2024-05-07 13:09:24.155","Reading","870","34","7.5","5","2","EOY"
"1314","2023-2024","108807009","108048893","2024-05-03 14:52:40.220","Reading","566","9","5.0","1","4","EOY"
"1315","2023-2024","108807017","108074746","2024-05-15 13:45:14.227","Reading","552","12","4.8","40","3","EOY"
"1316","2023-2024","108807009","108137063","2024-05-03 19:23:44.130","Reading","502","6","4.4","24","4","EOY"
"1317","2023-2024","108807015","108057045","2024-05-08 16:41:44.569","Reading","466","9","4.1","18","4","EOY"
"1318","2023-2024","108807108","108075584","2024-05-02 17:05:57.601","Reading","460","34","4.0","84","2","EOY"
"1319","2023-2024","108807009","108048629","2024-05-02 15:11:41.311","Reading","884","36","7.7","71","2","EOY"
"1320","2023-2024","108807014","108040616","2024-05-07 15:26:41.924","Reading","651","16","5.8","3","3","EOY"
"1321","2023-2024","108807017","108230057","2024-05-15 17:31:13.618","Reading","1211","76","11.3","69","1","EOY"
"1322","2023-2024","108807014","108137632","2024-05-07 13:27:35.808","Reading","598","11","5.3","29","3","EOY"
"1323","2023-2024","108807087","108229886","2024-05-10 18:42:05.742","Reading","493","12","4.3","77","3","EOY"
"1324","2023-2024","108807009","108113347","2024-05-02 19:06:57.961","Reading","864","34","7.5","85","2","EOY"
"1325","2023-2024","108807108","108101082","2024-05-09 15:34:16.557","Reading","370","17","3.3","98","3","EOY"
"1326","2023-2024","108807017","108057073","2024-05-15 20:01:10.292","Reading","494","8","4.4","57","4","EOY"
"1327","2023-2024","108807015","108234167","2024-04-30 15:51:11.790","Reading","268","1","2.6","5","4","EOY"
"1328","2023-2024","108807108","108237607","2024-05-02 16:53:24.141","Reading","456","33","4.0","6","2","EOY"
"1329","2023-2024","108807014","108053188","2024-05-08 18:18:50.724","Reading","394","2","3.5","1","4","EOY"
"1330","2023-2024","108807014","108053528","2024-05-07 19:26:13.147","Reading","902","38","7.8","78","2","EOY"
"1331","2023-2024","108807009","108049860","2024-05-02 14:56:12.520","Reading","679","18","6.1","62","3","EOY"
"1332","2023-2024","108807015","108195741","2024-04-30 18:54:25.453","Reading","619","28","5.5","13","2","EOY"
"1333","2023-2024","108807014","108209952","2024-05-07 14:25:20.480","Reading","415","3","3.7","42","4","EOY"
"1334","2023-2024","108807108","108087927","2024-05-02 16:59:59.946","Reading","373","18","3.4","25","3","EOY"
"1335","2023-2024","108807015","108200561","2024-04-30 16:53:37.195","Reading","823","52","7.1","70","1","EOY"
"1336","2023-2024","108807014","108053625","2024-05-07 15:40:32.928","Reading","840","31","7.2","25","2","EOY"
"1337","2023-2024","108807108","108089756","2024-05-02 17:13:40.823","Reading","318","9","2.9","42","4","EOY"
"1338","2023-2024","108807108","108102962","2024-05-07 17:24:29.277","Reading","160","1","1.9","29","4","EOY"
"1339","2023-2024","108807087","108090132","2024-05-13 18:14:09.435","Reading","294","2","2.8","1","4","EOY"
"1340","2023-2024","108807009","108052776","2024-05-02 18:13:52.614","Reading","453","4","3.9","50","4","EOY"
"1341","2023-2024","108807009","108137068","2024-05-02 15:09:31.056","Reading","1060","53","9.3","27","1","EOY"
"1342","2023-2024","108807108","108075546","2024-05-03 15:14:35.671","Reading","722","81","6.4","97","1","EOY"
"1343","2023-2024","108807015","108056976","2024-04-30 15:17:09.278","Reading","872","58","7.6","21","1","EOY"
"1344","2023-2024","108807015","108060247","2024-05-07 13:58:38.477","Reading","611","27","5.4","68","2","EOY"
"1345","2023-2024","108807108","108075575","2024-05-02 17:03:43.562","Reading","568","58","5.0","81","1","EOY"
"1346","2023-2024","108807009","108053170","2024-05-02 15:02:25.259","Reading","742","23","6.6","36","3","EOY"
"1347","2023-2024","108807108","108075544","2024-05-02 16:50:48.279","Reading","202","3","2.1","13","4","EOY"
"1348","2023-2024","108807087","108178216","2024-05-15 18:55:31.207","Reading","429","6","3.8","10","4","EOY"
"1349","2023-2024","108807009","108232211","2024-05-02 13:49:14.768","Reading","380","2","3.4","12","4","EOY"
"1350","2023-2024","108807017","108072589","2024-05-15 18:42:38.805","Reading","1037","64","9.1","73","1","EOY"
"1351","2023-2024","108807087","108178298","2024-05-10 18:54:05.266","Reading","449","8","3.9","26","4","EOY"
"1352","2023-2024","108807015","108063310","2024-04-30 18:35:45.168","Reading","627","29","5.6","45","2","EOY"
"1353","2023-2024","108807017","108061701","2024-05-15 19:55:22.936","Reading","1106","68","9.7","99","1","EOY"
"1354","2023-2024","108807015","108074839","2024-05-02 16:29:52.279","Reading","137","1","1.7","8","4","EOY"
"1355","2023-2024","108807087","108229866","2024-05-10 17:11:19.441","Reading","559","20","4.9","12","3","EOY"
"1356","2023-2024","108807087","108237255","2024-05-10 16:48:32.839","Reading","404","5","3.6","4","4","EOY"
"1357","2023-2024","108807014","108194873","2024-05-10 15:00:55.297","Reading","270","1","2.6","2","4","EOY"
"1358","2023-2024","108807009","108234573","2024-05-02 20:17:18.830","Reading","644","15","5.8","16","3","EOY"
"1359","2023-2024","108807015","108056916","2024-04-30 16:50:08.711","Reading","904","62","7.9","80","1","EOY"
"1360","2023-2024","108807009","108049861","2024-05-02 19:24:21.188","Reading","931","43","8.3","73","1","EOY"
"1361","2023-2024","108807087","108110839","2024-05-10 18:56:02.893","Reading","266","1","2.6","25","4","EOY"
"1362","2023-2024","108807014","108052513","2024-05-07 15:23:50.103","Reading","571","9","5.1","15","4","EOY"
"1363","2023-2024","108807014","108040588","2024-05-07 19:02:45.635","Reading","804","28","7.0","58","2","EOY"
"1364","2023-2024","108807015","108056974","2024-04-30 20:06:07.771","Reading","502","13","4.4","30","3","EOY"
"1365","2023-2024","108807014","108152931","2024-04-30 13:17:21.652","Reading","617","13","5.5","6","3","EOY"
"1366","2023-2024","108807087","108235768","2024-05-07 13:50:06.453","Reading","374","4","3.4","44","4","EOY"
"1367","2023-2024","108807017","108185649","2024-05-15 17:05:35.830","Reading","572","15","5.1","18","3","EOY"
"1368","2023-2024","108807014","108137636","2024-04-30 13:51:35.544","Reading","1230","68","11.8","95","1","EOY"
"1369","2023-2024","108807014","108050777","2024-05-07 14:49:57.531","Reading","1315","79","> 12.9","99","1","EOY"
"1370","2023-2024","108807017","108199914","2024-05-15 19:53:30.023","Reading","306","1","2.8","1","4","EOY"
"1371","2023-2024","108807009","108154870","2024-05-02 15:08:15.796","Reading","592","11","5.3","88","3","EOY"
"1372","2023-2024","108807017","108141818","2024-05-15 18:47:35.169","Reading","1174","72","10.6","38","1","EOY"
"1373","2023-2024","108807015","108056889","2024-04-30 20:31:22.794","Reading","855","56","7.4","90","1","EOY"
"1374","2023-2024","108807087","108214389","2024-05-13 18:35:48.206","Reading","375","4","3.4","8","4","EOY"
"1375","2023-2024","108807087","108090166","2024-05-10 18:28:55.542","Reading","395","5","3.5","51","4","EOY"
"1376","2023-2024","108807019","108085300","2024-05-14 18:27:46.702","Reading","634","14","5.7","64","3","EOY"
"1377","2023-2024","108807015","108203010","2024-05-08 16:34:30.245","Reading","919","65","8.1","87","1","EOY"
"1378","2023-2024","108807015","108056944","2024-05-02 18:56:05.797","Reading","889","60","7.7","11","1","EOY"
"1379","2023-2024","108807009","108137070","2024-05-02 15:09:59.411","Reading","1229","68","11.8","99","1","EOY"
"1380","2023-2024","108807015","108056994","2024-04-29 15:53:43.252","Reading","677","36","6.1","92","2","EOY"
"1381","2023-2024","108807017","108064942","2024-05-15 20:08:46.178","Reading","671","25","6.0","49","2","EOY"
"1382","2023-2024","108807009","108042455","2024-05-02 20:26:49.910","Reading","774","25","6.7","84","2","EOY"
"1383","2023-2024","108807009","108138876","2024-05-09 13:35:34.809","Reading","76","1","0.9","9","4","EOY"
"1384","2023-2024","108807009","108155214","2024-05-09 13:20:21.780","Reading","1150","59","10.2","93","1","EOY"
"1385","2023-2024","108807014","108137643","2024-05-10 13:33:57.236","Reading","232","1","2.3","2","4","EOY"
"1386","2023-2024","108807009","108074381","2024-05-09 19:44:21.831","Reading","682","18","6.1","30","3","EOY"
"1387","2023-2024","108807014","108047967","2024-05-07 13:22:10.163","Reading","1047","52","9.2","33","1","EOY"
"1388","2023-2024","108807108","108121228","2024-05-07 19:33:35.594","Reading","482","39","4.2","76","2","EOY"
"1389","2023-2024","108807017","108113989","2024-05-07 19:36:12.992","Reading","900","50","7.8","97","1","EOY"
"1390","2023-2024","108807014","108085928","2024-05-07 15:26:47.224","Reading","252","1","2.5","12","4","EOY"
"1391","2023-2024","108807015","108056892","2024-04-30 15:08:29.691","Reading","558","20","4.9","14","3","EOY"
"1392","2023-2024","108807108","108075522","2024-05-02 17:00:04.082","Reading","450","31","3.9","85","2","EOY"
"1393","2023-2024","108807087","108112507","2024-05-15 19:53:09.829","Reading","450","7","3.9","84","4","EOY"
"1394","2023-2024","108807015","108056977","2024-04-30 15:27:22.838","Reading","601","25","5.3","34","2","EOY"
"1395","2023-2024","108807009","108048587","2024-05-02 20:16:45.699","Reading","721","22","6.4","98","3","EOY"
"1396","2023-2024","108807017","108064990","2024-05-15 20:05:43.518","Reading","722","31","6.4","97","2","EOY"
"1397","2023-2024","108807015","108056907","2024-04-30 16:40:49.839","Reading","392","5","3.5","12","4","EOY"
"1398","2023-2024","108807108","108075504","2024-05-02 17:09:26.924","Reading","554","55","4.9","48","1","EOY"
"1399","2023-2024","108807108","108120916","2024-05-02 17:07:48.564","Reading","436","29","3.8","12","2","EOY"
"1400","2023-2024","108807014","108242778","2024-05-07 15:37:42.613","Reading","662","17","5.9","79","3","EOY"
"1401","2023-2024","108807087","108161870","2024-05-15 19:29:20.339","Reading","608","26","5.4","1","2","EOY"
"1402","2023-2024","108807108","108230826","2024-05-02 16:50:22.635","Reading","774","84","6.7","98","1","EOY"
"1403","2023-2024","108807009","108086572","2024-05-03 20:24:10.864","Reading","930","42","8.2","6","1","EOY"
"1404","2023-2024","108807014","108074619","2024-05-07 15:35:42.741","Reading","220","1","2.2","8","4","EOY"
"1405","2023-2024","108807087","108229869","2024-05-15 18:46:34.690","Reading","185","1","2.0","5","4","EOY"
"1406","2023-2024","108807014","108089448","2024-05-07 13:23:08.996","Reading","460","4","4.0","6","4","EOY"
"1407","2023-2024","108807087","108229906","2024-05-10 18:39:29.627","Reading","228","1","2.3","1","4","EOY"
"1408","2023-2024","108807015","108183489","2024-04-30 15:05:35.875","Reading","546","18","4.8","16","3","EOY"
"1409","2023-2024","108807015","108076622","2024-04-30 20:11:41.615","Reading","1209","86","11.2","81","1","EOY"
"1410","2023-2024","108807015","108056970","2024-04-30 16:46:15.777","Reading","724","42","6.4","17","1","EOY"
"1411","2023-2024","108807014","108038467","2024-05-07 19:04:34.732","Reading","1229","68","11.8","87","1","EOY"
"1412","2023-2024","108807015","108060511","2024-04-30 16:58:08.946","Reading","378","4","3.4","2","4","EOY"
"1413","2023-2024","108807015","108234162","2024-04-30 15:29:30.137","Reading","472","10","4.2","3","3","EOY"
"1414","2023-2024","108807014","108053060","2024-05-07 19:03:56.202","Reading","988","49","8.9","62","1","EOY"
"1415","2023-2024","108807087","108124160","2024-05-07 14:11:38.239","Reading","374","4","3.4","71","4","EOY"
"1416","2023-2024","108807087","108135595","2024-05-08 20:11:48.797","Reading","74","1","0.8","14","4","EOY"
"1417","2023-2024","108807017","108088303","2024-05-03 19:58:18.850","Reading","744","34","6.6","98","2","EOY"
"1418","2023-2024","108807108","108082116","2024-05-07 16:50:11.885","Reading","403","23","3.6","93","3","EOY"
"1419","2023-2024","108807015","108234171","2024-04-30 18:28:33.315","Reading","835","53","7.2","91","1","EOY"
"1420","2023-2024","108807108","108075568","2024-05-02 17:01:06.857","Reading","508","46","4.5","11","1","EOY"
"1421","2023-2024","108807014","108185730","2024-05-07 20:11:28.090","Reading","1281","74","12.8","86","1","EOY"
"1422","2023-2024","108807014","108038319","2024-05-07 19:17:59.911","Reading","1164","60","10.4","75","1","EOY"
"1423","2023-2024","108807015","108137522","2024-04-30 18:57:33.550","Reading","499","13","4.4","26","3","EOY"
"1424","2023-2024","108807014","108163304","2024-05-07 14:21:07.850","Reading","684","19","6.1","84","3","EOY"
"1425","2023-2024","108807009","108053019","2024-05-02 13:53:58.864","Reading","536","7","4.7","68","4","EOY"
"1426","2023-2024","108807087","108106263","2024-05-10 14:03:22.209","Reading","518","15","4.6","27","3","EOY"
"1427","2023-2024","108807009","108063965","2024-05-02 14:09:26.319","Reading","543","8","4.8","36","4","EOY"
"1428","2023-2024","108807015","108056888","2024-04-30 15:16:42.653","Reading","583","23","5.2","4","3","EOY"
"1429","2023-2024","108807087","108166967","2024-05-09 13:32:22.236","Reading","460","9","4.0","48","4","EOY"
"1430","2023-2024","108807009","108049063","2024-05-02 20:31:31.341","Reading","818","30","7.1","55","2","EOY"
"1431","2023-2024","108807009","108100255","2024-05-02 13:43:19.944","Reading","376","2","3.4","30","4","EOY"
